mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.23448745409647623,0.006113299684725641,0.060890515645345054,0.0050035498947347155,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.810126582278481,0.7893427413159356,0.014757264748430948,17
0.40793927510579425,0.007108241607702014,0.0765376091003418,0.010236900750392974,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7890295358649789,0.810126582278481,0.792155680837736,0.013578081302569215,16
0.6099100907643636,0.016083403633069784,0.08205779393513997,0.005355275201806989,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.810126582278481,0.7893427413159356,0.014757264748430948,17
0.23358575503031412,0.004275815261731224,0.05527718861897787,0.008129073699439096,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8109243697478992,0.8227848101265823,0.810126582278481,0.8146119207176542,0.005788275919449464,11
0.4395684401194255,0.025569090565765836,0.08990176518758138,0.019598367654015375,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8109243697478992,0.8227848101265823,0.810126582278481,0.8146119207176542,0.005788275919449464,11
0.672144889831543,0.03170859494391177,0.07785367965698242,0.0014064346941671524,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8109243697478992,0.8185654008438819,0.7974683544303798,0.8089860416740535,0.00872120705081426,15
0.2808694044748942,0.01212348672778643,0.047961155573527016,0.0009081162298599257,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8151260504201681,0.8354430379746836,0.8270042194092827,0.8258577692680448,0.008333896918302696,1
0.4900500774383545,0.015139755474532827,0.06501364707946777,0.005432825365317348,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8151260504201681,0.8354430379746836,0.8185654008438819,0.8230448297462445,0.00887858691050461,4
0.6748401323954264,0.01609137068940263,0.0847474733988444,0.0019990131069747763,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8151260504201681,0.8312236286919831,0.8227848101265823,0.8230448297462445,0.006574380285434243,4
0.27486904462178546,0.018799695832865643,0.04944316546122233,0.0024798594977458004,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.819327731092437,0.8227848101265823,0.8185654008438819,0.8202259806876336,0.001835936259820968,6
0.46416322390238446,0.009265351776046902,0.09263356526692708,0.012912904531989126,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8277310924369747,0.8185654008438819,0.8270042194092827,0.8244335708967131,0.004160020106225901,3
0.6567378044128418,0.012055294765625278,0.06148258845011393,0.007381020055612925,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8270042194092827,0.8270042194092827,0.8244453899703341,0.0036187312963606253,2
0.26731077829996747,0.014147466166099612,0.05359188715616862,0.0038945005870267796,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8277310924369747,0.8016877637130801,0.8227848101265823,0.8174012220922124,0.011293095467233257,9
0.5214752356211344,0.04377888892357587,0.05573582649230957,0.00499384690173216,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8151260504201681,0.8143459915611815,0.8270042194092827,0.818825420463544,0.00579204552825006,7
0.5989491939544678,0.07051839675200727,0.03788367907206217,0.0012272444276565746,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8277310924369747,0.810126582278481,0.8185654008438819,0.8188076918531125,0.0071890529362354265,8
0.24252915382385254,0.008701028690609899,0.04761274655659994,0.0027159878138462512,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8109243697478992,0.8016877637130801,0.8312236286919831,0.8146119207176542,0.012336675784799883,11
0.4016102949778239,0.012432292364907963,0.039121786753336586,0.003237691679977278,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8235294117647058,0.7974683544303798,0.8270042194092827,0.8160006618681228,0.013180879744715341,10
0.4293924967447917,0.04014285732752491,0.03703610102335612,0.0007980831872325712,7,300,"{'clf__max_depth': 7, 'clf__n_estimators': 300}",0.8067226890756303,0.8016877637130801,0.8312236286919831,0.8132113604935646,0.012901394565199363,14
