mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.22927284240722656,0.010223742492342173,0.06146558125813802,0.01492035209119131,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.8059071729957806,0.7879362715550355,0.012777695002369596,12
0.4455583890279134,0.010728969250546932,0.07526413599650066,0.0055516563727939705,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7848101265822784,0.810126582278481,0.7907492110768358,0.014039738707703161,11
0.23038927714029947,0.008603459036235373,0.09084598223368327,0.009481668304094568,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8109243697478992,0.8185654008438819,0.810126582278481,0.813205450956754,0.0038040253509479065,9
0.45857715606689453,0.03244505105303971,0.08786145846048991,0.0026643645651197733,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8067226890756303,0.8185654008438819,0.8059071729957806,0.8103984209717643,0.005784515928626691,10
0.25035707155863446,0.023384015596102647,0.08969537417093913,0.015196587372267176,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8235294117647058,0.8312236286919831,0.8185654008438819,0.8244394804335237,0.005207613132077823,2
0.5079203446706136,0.0026211783573297934,0.07916951179504395,0.009525541856052613,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8354430379746836,0.8185654008438819,0.8244453899703341,0.0077827365826613915,1
0.2865808804829915,0.010723093202444578,0.05966615676879883,0.006262214752811053,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8151260504201681,0.8185654008438819,0.8227848101265823,0.818825420463544,0.003132076809627087,6
0.4847423235575358,0.009541159962709498,0.04877535502115885,0.0037212858412648615,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8143459915611815,0.8312236286919831,0.8216324504485338,0.007080369917950562,4
0.2941920757293701,0.00975407712012111,0.05241854985555013,0.0018482402046339317,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8319327731092437,0.810126582278481,0.8270042194092827,0.8230211915990026,0.009337232728526853,3
0.4269593556722005,0.01179625660285199,0.031699021657307945,0.0014252007282788083,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,5
0.2663732369740804,0.004880255855962276,0.03791515032450358,0.0011129000004986467,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8277310924369747,0.8059071729957806,0.8185654008438819,0.8174012220922124,0.008947526625398087,7
0.33409905433654785,0.02129769637662091,0.030354102452596027,0.0011725033735894002,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8151260504201681,0.7974683544303798,0.8312236286919831,0.8146060111808436,0.013785438349380173,8
